Pcoprophilum_DM1,Pcoprophilum_DM2,Pcoprophilum_DM3,Pcoprophilum_CM1,Pcoprophilum_CM2,Pcoprophilum_CM3,Pnalgiovense_DM1,Pnalgiovense_DM2,Pnalgiovense_DM3,Pnalgiovense_CM1,Pnalgiovense_CM2,Pnalgiovense_CM3,Ppolonicum_DM1,Ppolonicum_DM2,Ppolonicum_DM3,Ppolonicum_CM1,Ppolonicum_CM2,Ppolonicum_CM3,Pantarcticum_DM1,Pantarcticum_DM2,Pantarcticum_DM3,Pantarcticum_CM1,Pantarcticum_CM2,Pantarcticum_CM3,Pvulpinum_DM1,Pvulpinum_DM2,Pvulpinum_DM3,Pvulpinum_CM1,Pvulpinum_CM2,Pvulpinum_CM3,Parizonense_DM1,Parizonense_DM2,Parizonense_DM3,Parizonense_CM1,Parizonense_CM2,Parizonense_CM3,Psolitum_DM1,Psolitum_DM2,Psolitum_DM3,Psolitum_CM1,Psolitum_CM2,Psolitum_CM3,Pdecumbens_DM1,Pdecumbens_DM2,Pdecumbens_DM3,Pdecumbens_CM1,Pdecumbens_CM2,Pdecumbens_CM3,Pflavigenum_DM1,Pflavigenum_DM2,Pflavigenum_DM3,Pflavigenum_CM1,Pflavigenum_CM2,Pflavigenum_CM3,Psteckii_DM1,Psteckii_DM2,Psteckii_DM3,Psteckii_CM1,Psteckii_CM2,Psteckii_CM3
0.7503,0.7643,1.036881276,93.3313,76.3452,76.3452,17.11858683,18.20665689,24.37820519,81.05537031,82.94343264,80.7752854,2.941676767,2.855130184,3.054345463,161.8602939,154.356132,159.3887244,5.077275665,7.323003408,6.939025249,31.39550704,35.72554579,35.72554579,2.628361972,2.665574588,2.594047635,30.87596342,30.27403581,31.33687958,20.42855061,20.05750626,22.05744709,114.8998196,115.8400056,119.831636,21.93394573,17.24368732,19.52093931,162.1232017,157.1250635,157.1250635,48.31185102,55.78658514,80.6162633,55.18261497,51.5803946,52.34780267,17.44800901,12.95414223,14.31874581,97.99409345,111.1810199,108.1344667,108.9249017,107.8304569,110.2277808,91.92993413,107.191385,100.2678638
0.7875,0.802,1.086093577,94.63,77.6018,77.6018,17.55107425,18.71805014,25.02110394,82.10758626,83.70627926,81.49926086,2.973942411,2.890006257,3.092637487,163.0468951,155.6988713,160.5831179,5.181300205,7.483402181,7.099810525,32.14149183,36.58759211,36.58759211,2.658776389,2.698942686,2.623311438,31.6641352,31.00099286,32.10340718,20.94635429,20.51104,22.64183973,115.7227398,116.6347663,120.8510103,22.35203066,17.53614355,19.87506392,163.1982881,158.2149457,158.2149457,49.96527757,57.73758005,83.07688107,56.02552294,52.34368294,53.32606955,17.88077263,13.25171278,14.69520716,99.17723087,112.2208236,109.3425247,109.8021876,108.152975,110.5089746,93.28340529,108.659658,101.7193119
0.8261,0.8413,1.137217887,95.9454,78.8263,78.8263,17.99715186,19.24844063,25.68264781,83.15145374,84.46548172,82.22411975,3.006672473,2.928943681,3.130737487,164.2280485,157.0231658,161.775137,5.30420818,7.624089298,7.240497641,32.89142905,37.46000094,37.46000094,2.688695408,2.728979496,2.651139659,32.35417201,31.71563151,32.78068939,21.47376533,20.97500933,23.23931826,116.5393656,117.4290301,121.8553109,22.78086354,17.83912102,20.23274415,164.2485274,159.3032143,159.3032143,51.51299539,59.56164532,85.36072956,56.87086037,53.11702037,54.29660636,18.32251086,13.55863486,15.08188016,100.3357812,113.2583082,110.5279207,110.5216816,108.4497852,110.7877559,94.66410683,110.1593344,103.1922892
0.866,0.8822,1.189909335,97.2625,80.0467,80.0467,18.44679601,19.78585781,26.35676037,84.19099239,85.97681914,83.66699092,3.036855601,2.96674368,3.168854052,165.5515455,158.3667072,162.9823725,5.429306339,7.790929789,7.407982304,33.65603377,38.3437245,38.3437245,2.718610745,2.764924281,2.68489426,33.15338673,32.44173213,33.4666035,22.01012116,21.44378233,23.85269862,117.3541693,118.2110363,122.7366851,23.2370258,18.16276636,20.61786285,165.3537431,160.4174626,160.4174626,53.08950783,61.41081436,87.66306626,57.72514258,53.89864,55.26186771,18.78676923,13.88236401,15.48202004,101.4806272,114.3091548,111.6952042,111.0820368,108.7389303,111.0598992,96.03115591,111.6564537,104.638388
0.9076,0.9252,1.244465151,98.5774,81.2584,81.2584,18.91122242,20.34178081,27.0649886,85.22944883,86.73138356,84.38665963,3.067270019,3.003997668,3.206669696,166.7316682,159.6931768,164.171256,5.538741922,7.961119973,7.554522181,34.43716536,39.24321677,39.24321677,2.747098475,2.795954956,2.712722481,33.8631352,33.17706157,34.25727835,22.55061809,21.91752466,24.47701151,118.161519,118.9897295,123.8304888,23.67624226,18.47377786,20.99111785,166.4035074,161.4872868,161.4872868,54.73060575,63.32083,90.01537878,58.5866027,55.48396515,56.24024685,19.23785144,14.19782781,15.87625317,102.6240658,115.3725904,112.831317,111.5884081,109.0317126,111.332255,97.38848444,113.1553126,106.118796
0.9526,0.9697,1.303816611,99.9091,82.4902,82.4902,19.39573191,20.91892867,27.77692725,86.25661939,88.22946945,85.8134081,3.10596327,3.04994184,3.242056813,168.063116,161.0390191,165.3719462,5.670024131,8.10953715,7.728319727,35.2234613,40.16082368,40.16082368,2.773927923,2.824777042,2.738010825,34.59349716,33.91615298,34.97205136,23.09542177,22.39623632,25.10364341,118.95893,119.7657724,124.6940471,24.11720077,18.7882189,21.37004595,167.4432983,162.555565,162.555565,56.39943046,65.25633182,92.29072807,60.34419779,56.28877497,57.24347016,19.69743451,14.5185091,16.26838507,103.7502364,117.4990199,114.0907686,112.0536433,109.323214,111.6027253,98.76834118,114.6609077,107.5941555
0.9972,1.0197,1.362075648,101.3672,83.7374,83.7374,19.88515399,21.50169891,28.49578527,87.27374086,88.97034061,86.5240216,3.145968178,3.093886625,3.284546383,169.2503062,162.3701176,166.549213,5.803238855,8.287070893,7.906497641,36.00802263,41.09548039,41.09548039,2.805320561,2.860114465,2.771139659,35.33867508,34.66309777,35.70254215,23.65397392,22.88091117,25.73905445,119.7528625,120.5360178,125.7679735,24.57696116,19.11823631,21.76107341,167.9109155,26.85297565,26.85297565,58.10704379,67.24762645,94.54204486,61.23182969,57.09391607,58.25694071,20.28221365,14.92997167,16.79598108,104.8632278,118.5446763,115.496394,112.4900675,109.6117805,111.8749007,100.1290642,116.1504666,109.0631932
1.0467,1.0697,1.424845169,102.7074,84.9777,84.9777,20.39259265,22.11057008,29.24561038,88.28498748,89.70900319,87.2305492,3.192397626,3.134077116,3.330343316,170.5812571,163.6910326,167.7334768,5.919962781,8.469629175,8.062644881,36.82191059,42.03044524,42.03044524,2.840750009,2.893979496,2.80807831,36.19148489,35.4150536,36.5329716,24.22743404,23.42790503,26.46181519,120.5429852,121.3918461,126.7282127,25.04539536,19.46447361,22.16664831,NA,NA,NA,59.83005975,69.23369974,96.76263244,62.1232162,57.89994061,59.27647108,20.91222883,15.37533916,17.35377679,105.9571818,119.5827131,116.8125566,112.9099533,109.8974274,112.1471777,101.5099219,117.667474,110.5486613
1.0981,1.1217,1.489812629,104.0323,86.236,86.236,20.90540492,22.72728511,30.00674504,89.28525742,91.18058601,88.62262282,3.252420019,3.175333558,3.382804052,171.7656497,165.0198486,168.8943885,6.060521063,8.629531016,8.24777985,37.64165703,42.9954262,42.9954262,2.883152463,2.927991766,2.844023095,36.94194502,36.18963274,37.26152988,24.80536656,23.92831607,27.12654525,121.3263165,122.158116,127.6738753,25.48473408,19.8113663,22.58324686,NA,NA,NA,61.61591913,71.25993202,99.01718817,63.01614871,58.71446822,60.29851587,21.50595,15.79664192,17.88853477,106.9972303,120.6345536,118.1185143,113.3095662,110.1786558,112.4093406,102.8863829,119.1694249,112.021238
1.1496,1.1745,1.555382844,105.3544,87.4844,87.4844,21.42892547,23.36759462,30.78960578,90.34587706,91.90345718,89.31070871,3.297447626,3.225650122,3.450705279,173.1178031,166.3136535,170.0357456,6.182987321,8.819561691,8.436135678,38.47658098,43.98635901,43.98635901,2.938447555,2.970543913,2.90100469,37.8047671,36.94549378,37.99227835,25.38180828,24.37886822,27.79988881,122.1026908,122.916435,128.6120839,25.88079704,20.14797279,22.98393629,NA,NA,NA,63.47263177,73.27950463,101.2709575,64.79340025,60.35037006,61.3300312,22.12247595,16.23305235,18.44258875,108.0286109,122.7545782,119.4338578,113.7023544,110.4616748,112.6704295,104.27934,120.67925,113.4974942
